state_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ohio,10657423.0,10735000.0,10747000.0,10767000.0,10766000.0,10770000.0,10753000.0,10771000.0,10795000.0,10799000.0,10797604.0,10788336.0,10757085.0,10737631.0,10737743.0,10734926.0,10730272.0,10760081.0,10798554.0,10829216.0,10861837.0,10933683.0,11007609.0,11070385.0,11111451.0,11155493.0,11187032.0,11212498.0,11237752.0,11256654.0,11363844.0,11396874.0,11420981.0,11445180.0,11464593.0,11475262.0,11492495.0,11520815.0,11528072.0,11542645.0,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
Oklahoma,2559463.0,2618000.0,2657000.0,2694000.0,2732000.0,2772000.0,2823000.0,2866000.0,2913000.0,2970000.0,3025487.0,3096159.0,3206129.0,3290404.0,3285535.0,3271333.0,3252735.0,3210124.0,3167064.0,3150304.0,3147105.0,3166471.0,3204174.0,3228829.0,3246119.0,3265547.0,3289634.0,3314259.0,3339478.0,3358044.0,3453943.0,3464729.0,3484754.0,3498687.0,3514449.0,3532769.0,3574334.0,3612186.0,3644025.0,3687050.0,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079
Oregon,2091533.0,2150000.0,2195000.0,2239000.0,2281000.0,2325000.0,2372000.0,2439000.0,2510000.0,2578000.0,2633156.0,2667985.0,2664919.0,2653071.0,2666589.0,2672648.0,2683526.0,2700996.0,2741297.0,2790579.0,2858547.0,2918745.0,2973934.0,3034490.0,3087142.0,3141421.0,3195087.0,3243254.0,3282055.0,3316154.0,3430891.0,3470382.0,3517111.0,3550180.0,3573505.0,3617869.0,3677545.0,3732957.0,3782991.0,3825657.0,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
Pennsylvania,11800766.0,11884000.0,11905000.0,11885000.0,11864000.0,11898000.0,11887000.0,11882000.0,11865000.0,11874000.0,11864720.0,11858569.0,11845146.0,11837726.0,11815175.0,11770865.0,11782754.0,11810869.0,11845755.0,11865992.0,11895604.0,11943160.0,11980819.0,12022128.0,12042545.0,12044780.0,12038008.0,12015888.0,12002329.0,11994016.0,12285504.0,12299533.0,12326302.0,12357524.0,12388368.0,12418161.0,12471142.0,12522531.0,12566368.0,12604767.0,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
Rhode Island,949722.0,964000.0,976000.0,978000.0,953000.0,946000.0,950000.0,955000.0,957000.0,957000.0,947154.0,953012.0,954170.0,956382.0,961895.0,968956.0,977340.0,989605.0,996407.0,1000666.0,1004649.0,1003990.0,1000571.0,997852.0,993412.0,989203.0,987858.0,986966.0,987704.0,990819.0,1050736.0,1058051.0,1066034.0,1071504.0,1071414.0,1064989.0,1060196.0,1055009.0,1053502.0,1053209.0,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
South Carolina,2590713.0,2662000.0,2718000.0,2775000.0,2843000.0,2900000.0,2941000.0,2989000.0,3041000.0,3087000.0,3120737.0,3179255.0,3207611.0,3234068.0,3271864.0,3303211.0,3342759.0,3380507.0,3412097.0,3456777.0,3499064.0,3559470.0,3600576.0,3634507.0,3666456.0,3699943.0,3738974.0,3790066.0,3839578.0,3885736.0,4023570.0,4062701.0,4103934.0,4146474.0,4201306.0,4256199.0,4339399.0,4424232.0,4503280.0,4561242.0,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
South Dakota,666257.0,671000.0,677000.0,679000.0,680000.0,681000.0,687000.0,689000.0,689000.0,689000.0,690768.0,689584.0,690597.0,693009.0,697250.0,698404.0,696036.0,696034.0,698160.0,696698.0,696667.0,701445.0,708698.0,716258.0,723038.0,728251.0,730699.0,730855.0,730789.0,733133.0,755694.0,758983.0,762107.0,766975.0,774283.0,780084.0,788519.0,797035.0,804532.0,812383.0,816165,823484,833496,842270,849088,853933,862890,873286,882235
Tennessee,3926018.0,4010000.0,4088000.0,4138000.0,4202000.0,4261000.0,4329000.0,4402000.0,4462000.0,4533000.0,4591023.0,4627662.0,4646043.0,4659757.0,4686743.0,4715292.0,4738708.0,4782939.0,4822438.0,4854432.0,4890626.0,4946886.0,5013999.0,5085666.0,5163016.0,5241168.0,5313576.0,5378433.0,5432679.0,5483535.0,5703243.0,5755443.0,5803306.0,5856522.0,5916762.0,5995748.0,6089453.0,6172862.0,6240456.0,6296254.0,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
Texas,11198657.0,11510000.0,11759000.0,12019000.0,12268000.0,12568000.0,12903000.0,13192000.0,13498000.0,13887000.0,14225512.0,14746318.0,15331408.0,15751674.0,16007088.0,16272722.0,16561103.0,16621767.0,16667040.0,16806729.0,17044714.0,17339904.0,17650479.0,17996764.0,18338319.0,18679706.0,19006240.0,19355427.0,19712389.0,20044141.0,20945963.0,21332847.0,21710788.0,22057801.0,22418319.0,22801920.0,23369024.0,23837701.0,24304290.0,24782302.0,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
Utah,1059273.0,1101000.0,1135000.0,1169000.0,1199000.0,1234000.0,1272000.0,1316000.0,1364000.0,1416000.0,1461037.0,1515472.0,1558314.0,1594943.0,1622342.0,1642910.0,1662833.0,1678120.0,1689372.0,1705865.0,1729722.0,1771941.0,1821498.0,1875993.0,1930436.0,1976774.0,2022253.0,2065397.0,2100562.0,2129836.0,2244314.0,2291250.0,2334473.0,2379938.0,2438915.0,2499637.0,2583724.0,2663796.0,2727343.0,2784572.0,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105
